Household_Id	Acres [EUPATH_0000026]	Air bricks [EUPATH_0000018]	Animal-drawn cart [EUPATH_0000166]	Bank account [EUPATH_0000167]	Bed [ENVO_00000501]	Bicycle [ENVO_01000614]	Boat with a motor [EUPATH_0000179]	Boat without a motor [EUPATH_0000170]	Car or truck [EUPATH_0000171]	Cassette player [ENVO_01000578]	Chair [ENVO_01000586]	Clock [ENVO_01000596]	Cooking fuel [EUPATH_0000023]	Country [ENVO_00000009]	Cupboard [ENVO_01000595]	Drinking water source [ENVO_00003064]	Dwelling type [ENVO_01000744]	Eaves [ENVO_01000825]	Electricity [EUPATH_0021084]	Floor material [EUPATH_0000006]	Food problems per week [EUPATH_0000029]	Household wealth index, categorical [EUPATH_0000143]	Household wealth index, numerical [EUPATH_0000014]	Human waste facilities [EUPATH_0000335]	Landline phone [ENVO_01000582]	Lighting source [OBI_0400065]	Meals per day [EUPATH_0000027]	Meat meals per week [EUPATH_0000028]	Mobile phone [ENVO_01000581]	Motorcycle or scooter [ENVO_01000615]	Persons living in house count [EUPATH_0000019]	Radio [ENVO_01000577]	Refrigerator [ENVO_01000583]	Roof material [EUPATH_0000003]	Sleeping places count [EUPATH_0000201]	Sleeping rooms in dwelling count [EUPATH_0000025]	Sofa [ENVO_01000588]	Sub-county in Uganda [EUPATH_0000054]	Table [ENVO_01000584]	Television [ENVO_01000579]	Wall material [EUPATH_0000009]	Watch [EUPATH_0000186]
h_206010101	0	No airbricks	No	No	No	No	No	No	No	No	No	No	["Firewood"]	Uganda	No	Public tap	Traditional	Closed	No	Earth or sand	Always	Poorest	-2.9348412	["Uncovered pit latrine no slab"]	No	Paraffin - wick lamp	1	1	No	No	5	No	No	Metal	1	1	No	Walukuba	No	No	Mud	No
h_130005601	4	No airbricks	No	No	Yes	Yes	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Open public well	Traditional	Closed	No	Earth and dung	Never	Middle	.1369614	["No facility/bush/field"]	No	Paraffin - wick lamp	2	7	Yes	No	10	Yes	No	Metal	4	2	No	Nagongera	No	No	Mud	No
h_432003601	0	No airbricks	No	No	Yes	No	No	No	No	No	No	No	["Firewood"]	Uganda	No	Protected spring	Traditional	Open	No	Earth or sand	Sometimes	Middle	-.40698734	["Uncovered pit latrine no slab"]	No	Paraffin - wick lamp	2	0	Yes	No	3	Yes	No	Thatch	2	1	No	Kihihi	Yes	No	Mud	No
h_348000701	1	Unscreened airbricks	No	No	Yes	No	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	River/stream	Traditional	Closed	No	Earth or sand	Sometimes	Poorest	-1.1476938	["Uncovered pit latrine no slab"]	No	Paraffin - wick lamp	2	1	No	No	7	Yes	No	Metal	3	2	No	Kihihi	Yes	No	Mud	No
h_429008401	0	Unscreened airbricks	No	No	Yes	No	No	No	No	No	Yes	No	["Firewood"]	Uganda	Yes	Borehole	Modern	Closed	No	Cement/concrete	Often	Middle	.45869437	["Covered pit latrine no slab"]	No	Paraffin - wick lamp	2	0	No	No	6	Yes	No	Metal	5	3	No	Kihihi	Yes	No	Cement	No
h_339008601	2	Unscreened airbricks	No	No	Yes	No	No	No	No	No	No	No	["Charcoal"]	Uganda	No	Water truck	Modern	Closed	No	Cement/concrete	Sometimes	Poorest	-2.2486987	["Covered pit latrine w/slab"]	No	Paraffin - wick lamp	2	1	No	No	4	No	No	Metal	2	1	No	Kihihi	No	No	Cement	No
h_124001001	1	No airbricks	No	No	Yes	Yes	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Borehole	Traditional	Open	No	Earth or sand	Never	Least poor	.87931198	["Uncovered pit latrine no slab"]	No	Paraffin - wick lamp	2	1	Yes	No	6	Yes	No	Thatch	3	2	No	Nagongera	Yes	No	Mud	No
h_216001613	0	No airbricks	No	Yes	Yes	Yes	No	No	No	No	No	No	["Charcoal"]	Uganda	No	Public tap	Modern	Closed	Yes	Cement/concrete	Sometimes	Least poor	.91815662	["Covered pit latrine no slab"]	No	Electricity	2	0	Yes	No	8	Yes	No	Tiles	2	1	Yes	Walukuba	Yes	No	Cement	No
h_134011901	6	Unscreened airbricks	No	Yes	Yes	Yes	No	No	No	No	Yes	Yes	["Firewood"]	Uganda	Yes	Protected public well	Modern	Closed	No	Cement/concrete	Never	Least poor	3.1265562	["Covered pit latrine w/slab"]	No	Solar	4	1	Yes	Yes	6	Yes	No	Metal	6	5	Yes	Nagongera	Yes	Yes	Cement	No
h_104007201	3	No airbricks	No	No	Yes	Yes	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Borehole	Traditional	Closed	No	Earth or sand	Never	Middle	.52949846	["Covered pit latrine no slab"]	No	Paraffin - wick lamp	2	1	No	No	5	Yes	No	Metal	3	3	No	Nagongera	Yes	No	Mud	No
h_126011401	2	No airbricks	No	No	Yes	Yes	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Borehole	Traditional	Open	No	Earth and dung	Sometimes	Middle	-.46444392	["Uncovered pit latrine no slab"]	No	Paraffin - wick lamp	2	2	Yes	No	9	No	No	Metal	5	5	No	Nagongera	Yes	No	Mud	No
h_205014305	0	No airbricks	No	No	Yes	No	No	No	No	Yes	No	No	["Firewood"]	Uganda	No	Public tap	Modern	Closed	No	Earth or sand	Sometimes	Middle	.0078679956	["Covered pit latrine no slab"]	No	Paraffin - wick lamp	2	3	No	No	5	Yes	No	Metal	2	1	No	Walukuba	Yes	No	Metal	No
