Household_repeated_measure_Id	Household_Id	Collection date [EUPATH_0020003]	Anopheles dissected for parity count [EUPATH_0000194]	Anopheles nulliparous count [EUPATH_0000195]	Anopheles parous count [EUPATH_0000196]	Anopheles tested for sporozoites count [EUPATH_0000217]	Bloodfed Anopheles funestus count [EUPATH_0000192]	Bloodfed Anopheles gambiae count [EUPATH_0000193]	Female Anopheles count [EUPATH_0000135]	Female Anopheles funestus count [EUPATH_0000136]	Female Anopheles gambiae count [EUPATH_0000137]	Gravid Anopheles funestus count [EUPATH_0000197]	Gravid Anopheles gambiae count [EUPATH_0000198]	Other female Anopheles species count [EUPATH_0000200]	Sporozoite-pos Anopheles count [EUPATH_0000218]	Unable to assess Anopheles funestus count [EUPATH_0000202]	Unable to assess Anopheles gambiae count [EUPATH_0000203]	Unfed Anopheles funestus count [EUPATH_0000204]	Unfed Anopheles gambiae count [EUPATH_0000205]
hrm_107020201657	h_107020201	2014-10-31	2	0	2	30	0	0	50	1	49	0	2	0	0	0	0	1	47
hrm_107020201658	h_107020201	2014-11-11	6	3	3	30	0	0	50	22	28	5	6	0	0	0	0	17	22
hrm_107020201659	h_107020201	2014-12-05	4	2	2	50	0	0	50	26	24	2	3	0	0	0	0	24	21
hrm_107020201660	h_107020201	2015-02-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hrm_107020201661	h_107020201	2015-02-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hrm_107020201662	h_107020201	2015-03-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hrm_107020201663	h_107020201	2015-04-10	5	1	4	6	0	0	6	0	6	0	1	0	0	0	0	0	5
hrm_107020201664	h_107020201	2015-05-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hrm_107020201665	h_107020201	2015-06-13	4	1	3	40	0	0	40	0	40	0	4	0	0	0	0	0	36
hrm_107020201666	h_107020201	2015-07-10	3	0	3	3	0	0	3	0	3	0	0	0	0	0	0	0	3
hrm_107020201667	h_107020201	2015-08-21	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1
hrm_107020201668	h_107020201	2015-09-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hrm_107020201669	h_107020201	2015-10-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hrm_107020201670	h_107020201	2015-11-12	12	3	9	13	0	0	13	0	13	0	1	0	0	0	0	0	12
hrm_107020201671	h_107020201	2015-12-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hrm_107020201672	h_107020201	2016-01-15	2	1	1	2	0	0	2	0	2	0	0	0	0	0	0	0	2
hrm_107020201673	h_107020201	2016-02-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hrm_107020201674	h_107020201	2016-03-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hrm_107020201675	h_107020201	2016-04-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hrm_107020201676	h_107020201	2016-05-24	5	0	5	16	0	0	16	0	16	0	3	0	0	0	0	0	13
hrm_107020201677	h_107020201	2016-06-15	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1
hrm_107020201678	h_107020201	2016-08-03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hrm_107020201679	h_107020201	2016-08-03	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1
hrm_107020201680	h_107020201	2016-09-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hrm_107020201681	h_107020201	2016-10-25	2	1	1	3	0	1	3	0	3	0	0	0	0	0	0	0	2
hrm_107020201682	h_107020201	2016-11-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
