iri	label	type	parentlabel	category	definition	min	max	average	median	upper_quartile	lower_quartile	number_distinct_values	distinct_values	variable	replaces
EUPATH_0000047	Hemoglobin	number	Blood test	Sample	Blood hemoglobin (g/dl)	3	18.9	12.0321547708258	12	13.1	11	174		["hemoglobin"]	
EUPATH_0000048	Plasmodium asexual stages, by microscopy	string	Plasmodium in blood	Sample	Asexual parasites in the blood, as determined by microscopy							2	["Negative","Positive"]	["bsdich"]	
EUPATH_0000092	Plasmodium asexual stages, by microscopy result	integer	Raw eukaryota data for blood	Sample	Number of asexual parasites in the blood (counts per microliter)	0	1600000	6723.34961211328	0	0	0	2321		["parasitedensity"]	
EUPATH_0000127	Filter paper sample	string	Blood sample	Sample								2	["No","Yes"]	["filter"]	
EUPATH_0000128	Peripheral blood mononuclear cell sample	string	Blood sample	Sample	PBMC							2	["No","Yes"]	["PBMC"]	
EUPATH_0000207	Plasmodium gametocytes, by microscopy	string	Plasmodium in blood	Sample	Sexual parasites in the blood, as determined by microscopy							2	["No","Yes"]	["gametocytes"]	
EUPATH_0000487	Plasmodium, by LAMP	string	Plasmodium in blood	Sample	Submicroscopic parasitemia detected by LAMP assay							4	["Na","Negative","No result","Positive"]	["lamp"]	
EUPATH_0011795	Blood test		Laboratory test	Sample											
EUPATH_0021143	Raw test result for blood		Blood microbiology test	Sample											
EUPATH_0022270	Raw eukaryota data for blood		Raw test result for blood	Sample											
EUPATH_0033307	Eukaryota in blood		Blood microbiology test	Sample											NCBITaxon_2759
EUPATH_0033308	Plasmodium in blood		Eukaryota in blood	Sample											NCBITaxon_5820
OBIB_0000036	Buffy coat sample	string	Blood sample	Sample								2	["No","Yes"]	["buffycoat"]	
OBI_0000655	Blood sample		Sample	Sample											
OBI_0002649	Blood microbiology test		Laboratory test	Sample											EUPATH_0020005
OBI_0100016	Plasma sample	string	Blood sample	Sample								2	["No","Yes"]	["plasma"]	
OBI_2000016	Erythrocyte sample	string	Blood sample	Sample								2	["No","Yes"]	["pellet"]	
OGMS_0000056	Laboratory test		Sample	Sample											
EUPATH_0025053	Anopheles results		Arthropod sample	Household repeated measure											
EUPATH_0044177	Arthropod sample		Household	Household repeated measure											
EUPATH_0044178	Arthropod collection process		Household	Household repeated measure											
EUPATH_0000135	Female Anopheles count	integer	Anopheles results	Household repeated measure	Total # female Anopheles collected	0	1011	9.38826996758031	0	4	0	285		["totalanopheles"]	
EUPATH_0000136	Female Anopheles funestus count	integer	Anopheles funestus results	Household repeated measure	Number of female Anopheles funestus collected	0	98	0.81927497789567	0	0	0	60		["totalfunestus"]	
